ano,Female,Male,Mixed,Total,Percentual_Feminino
1896,0,151,0,2047,0.0
1900,7,485,142,2534,0.3
1904,10,490,0,2404,0.4
1908,12,849,61,2830,0.4
1912,24,874,91,2901,0.8
1920,36,1195,119,3270,1.1
1924,46,939,137,3046,1.5
1928,106,734,69,2837,3.7
1932,70,651,71,2724,2.6
1936,106,938,83,3063,3.5
1948,118,879,76,3021,3.9
1952,168,876,62,3058,5.5
1956,174,861,64,3055,5.7
1960,198,856,55,3069,6.5
1964,248,922,86,3220,7.7
1968,263,928,105,3264,8.1
1972,297,1053,118,3440,8.6
1976,438,1008,117,3539,12.4
1980,489,1030,117,3616,13.5
1984,542,1092,102,3720,14.6
1988,610,1168,102,3868,15.8
1992,690,1285,96,4063,17.0
1994,105,222,18,2339,4.5
1996,760,1042,75,3873,19.6
1998,186,250,18,2452,7.6
2000,884,1077,81,4042,21.9
2002,204,261,18,2485,8.2
2004,902,1083,69,4058,22.2
2006,228,289,18,2541,9.0
2008,920,1094,66,4088,22.5
2010,231,285,18,2544,9.1
2012,916,1010,57,3995,22.9
2014,246,300,69,2629,9.4
2016,962,1038,63,4079,23.6
2018,256,294,123,2691,9.5
2020,1113,1132,189,4454,25.0
2022,265,297,164,2748,9.6
2024,1162,1153,0,4339,26.8
