sport,Gold,Silver,Bronze,Total
Athletics,1606,1586,1548,4740
Swimming,1247,1141,1109,3497
Rowing,1077,1061,1080,3218
Artistic Gymnastics,810,774,759,2343
Football,742,707,739,2188
Fencing,649,643,630,1922
Hockey,627,624,632,1883
Ice Hockey,622,628,624,1874
Wrestling,446,446,536,1428
Sailing,479,445,396,1320
Shooting,432,431,428,1291
Handball,429,430,422,1281
Water Polo,417,415,426,1258
Basketball,414,414,407,1235
Volleyball,386,386,386,1158
Canoe Sprint,364,364,367,1095
Boxing,278,278,492,1048
Cycling Track,330,329,327,986
Cross Country Skiing,304,302,304,910
Judo,190,190,374,754
Weightlifting,238,234,236,708
Speed Skating,236,239,232,707
Biathlon,172,177,175,524
Alpine Skiing,174,175,173,522
Figure Skating,178,171,163,512
Diving,165,165,166,496
Bobsleigh,153,149,150,452
Short Track Speed Skating,141,142,141,424
Archery,155,139,119,413
Baseball,136,136,136,408
Cycling Road,134,134,125,393
Tennis,118,120,144,382
Equestrian Eventing,122,122,118,362
Equestrian Jumping,117,115,116,348
Equestrian Dressage,96,95,96,287
Artistic Swimming,95,93,94,282
Ski Jumping,87,88,86,261
Curling,83,82,80,245
Rugby Sevens,76,78,76,230
Table Tennis,74,74,80,228
Luge,78,74,76,228
Softball,75,75,75,225
Badminton,70,70,76,216
Rugby,95,94,22,211
Taekwondo,56,56,96,208
Nordic Combined,67,67,67,201
Modern Pentathlon,66,66,66,198
Freestyle Skiing,59,59,60,178
Rhythmic Gymnastics,56,56,56,168
Snowboarding,52,52,52,156
Canoe Slalom,50,50,50,150
Art Competitions,45,53,49,147
Tug-Of-War,42,35,21,98
Beach Volleyball,32,32,32,96
Alpinism,88,0,0,88
Canoe Marathon,26,26,26,78
Polo,23,25,24,72
Triathlon,22,22,22,66
Lacrosse,27,24,12,63
Golf,19,19,20,58
3x3 Basketball,16,16,16,48
Cycling Mountain Bike,16,16,16,48
Equestrian,15,15,15,45
Skeleton,14,14,14,42
Trampolining,12,12,12,36
Cricket,22,12,0,34
Karate,8,8,16,32
Marathon Swimming,10,10,10,30
Cycling BMX Racing,10,10,10,30
Skateboarding,8,8,8,24
Sport Climbing,6,6,6,18
Equestrian Vaulting,4,4,4,12
Cycling BMX Freestyle,4,4,4,12
Surfing,4,4,4,12
Military Ski Patrol,4,4,4,12
Racquets,3,3,4,10
Croquet,4,2,2,8
Motorboating,7,0,0,7
Trampoline Gymnastics,2,2,2,6
Breaking,2,2,2,6
Equestrian Driving,1,1,1,3
Jeu De Paume,1,1,1,3
Roque,1,1,1,3
Basque pelota,2,0,0,2
Aeronautics,1,0,0,1
